,State,State ABBR,Prescribing Rate,Year
269,Indiana,IN,106.7,2011
270,Iowa,IA,64.0,2011
271,Kansas,KS,87.8,2011
272,Kentucky,KY,137.0,2011
273,Louisiana,LA,111.7,2011
274,Maine,ME,93.1,2011
275,Maryland,MD,72.9,2011
276,Massachusetts,MA,65.9,2011
277,Michigan,MI,98.8,2011
278,Minnesota,MN,60.0,2011
279,Mississippi,MS,117.2,2011
280,Missouri,MO,91.6,2011
281,Montana,MT,85.3,2011
282,Nebraska,NE,68.8,2011
283,Nevada,NV,100.3,2011
284,New Hampshire,NH,80.9,2011
285,New Jersey,NJ,61.5,2011
286,New Mexico,NM,81.6,2011
287,New York,NY,51.1,2011
288,North Carolina,NC,93.5,2011
289,North Dakota,ND,61.3,2011
290,Ohio,OH,101.5,2011
291,Oklahoma,OK,122.3,2011
292,Oregon,OR,100.7,2011
293,Pennsylvania,PA,81.7,2011
294,Rhode Island,RI,82.5,2011
295,South Carolina,SC,96.8,2011
296,South Dakota,SD,55.1,2011
297,Tennessee,TN,138.5,2011
298,Texas,TX,72.0,2011
299,Utah,UT,85.2,2011
300,Vermont,VT,53.6,2011
301,Virginia,VA,76.6,2011
302,Washington,WA,81.6,2011
303,West Virginia,WV,139.6,2011
304,Wisconsin,WI,75.2,2011
305,Wyoming,WY,78.2,2011
306,Alabama,AL,143.8,2012
307,Alaska,AK,66.8,2012
308,Arizona,AZ,85.3,2012
309,Arkansas,AR,121.8,2012
310,California,CA,56.4,2012
311,Colorado,CO,73.5,2012
312,Connecticut,CT,69.3,2012
313,Delaware,DE,94.0,2012
314,District of Columbia,DC,40.3,2012
315,Florida,FL,75.9,2012
316,Georgia,GA,89.4,2012
317,Hawaii,HI,50.4,2012
318,Idaho,ID,92.0,2012
319,Illinois,IL,66.1,2012
320,Indiana,IN,110.5,2012
321,Iowa,IA,74.1,2012
322,Kansas,KS,90.3,2012
323,Kentucky,KY,127.9,2012
324,Louisiana,LA,113.0,2012
325,Maine,ME,89.7,2012
326,Maryland,MD,72.2,2012
327,Massachusetts,MA,65.7,2012
328,Michigan,MI,100.7,2012
329,Minnesota,MN,60.9,2012
330,Mississippi,MS,121.8,2012
331,Missouri,MO,95.4,2012
332,Montana,MT,87.7,2012
333,Nebraska,NE,73.2,2012
334,Nevada,NV,98.9,2012
335,New Hampshire,NH,83.7,2012
336,New Jersey,NJ,60.1,2012
337,New Mexico,NM,76.8,2012
338,New York,NY,51.8,2012
339,North Carolina,NC,98.6,2012
340,North Dakota,ND,62.1,2012
341,Ohio,OH,97.5,2012
342,Oklahoma,OK,127.4,2012
343,Oregon,OR,98.7,2012
344,Pennsylvania,PA,83.3,2012
345,Rhode Island,RI,83.2,2012
346,South Carolina,SC,104.0,2012
347,South Dakota,SD,60.1,2012
348,Tennessee,TN,136.1,2012
349,Texas,TX,73.4,2012
350,Utah,UT,84.5,2012
351,Vermont,VT,54.6,2012
352,Virginia,VA,79.6,2012
353,Washington,WA,78.7,2012
354,West Virginia,WV,136.9,2012
355,Wisconsin,WI,76.8,2012
356,Wyoming,WY,80.5,2012
357,Alabama,AL,142.4,2013
358,Alaska,AK,63.7,2013
359,Arizona,AZ,80.4,2013
360,Arkansas,AR,120.9,2013
361,California,CA,54.4,2013
362,Colorado,CO,71.2,2013
363,Connecticut,CT,67.4,2013
364,Delaware,DE,92.7,2013
365,District of Columbia,DC,41.1,2013
366,Florida,FL,73.5,2013
367,Georgia,GA,86.6,2013
368,Hawaii,HI,49.4,2013
369,Idaho,ID,89.2,2013
370,Illinois,IL,63.7,2013
371,Indiana,IN,106.3,2013
372,Iowa,IA,72.2,2013
373,Kansas,KS,88.7,2013
374,Kentucky,KY,111.7,2013
375,Louisiana,LA,112.4,2013
376,Maine,ME,85.9,2013
377,Maryland,MD,69.0,2013
378,Massachusetts,MA,63.0,2013
379,Michigan,MI,98.9,2013
380,Minnesota,MN,58.3,2013
381,Mississippi,MS,119.6,2013
382,Missouri,MO,93.3,2013
383,Montana,MT,84.2,2013
384,Nebraska,NE,71.3,2013
385,Nevada,NV,91.1,2013
386,New Hampshire,NH,82.0,2013
387,New Jersey,NJ,58.3,2013
388,New Mexico,NM,71.4,2013
389,New York,NY,46.7,2013
390,North Carolina,NC,96.7,2013
391,North Dakota,ND,60.1,2013
392,Ohio,OH,93.1,2013
393,Oklahoma,OK,123.3,2013
394,Oregon,OR,94.2,2013
395,Pennsylvania,PA,81.6,2013
396,Rhode Island,RI,76.9,2013
397,South Carolina,SC,103.0,2013
398,South Dakota,SD,60.6,2013
399,Tennessee,TN,127.1,2013
400,Texas,TX,70.0,2013
401,Utah,UT,82.1,2013
